formula,scale,threshold,mae,mae_std,coverage,coverage_std,within_5,within_5_std,n_accepted,n_simulations
linear,6.0,0.65,4.866666666666667,1.457166199626293,0.2037037037037037,0.032075014954979206,0.7666666666666666,0.05773502691896263,18,90
linear,6.0,0.7,4.126623376623376,1.7500602355727375,0.15185185185185188,0.027962349760262042,0.7881493506493507,0.13477692741564715,14,90
linear,7.0,0.45,8.174284652545523,0.943049148674599,0.48148148148148145,0.04206598774666867,0.6715223584788802,0.0403917233034542,43,90
linear,7.0,0.5,6.945285945285946,1.5042553430694576,0.43703703703703706,0.027962349760262045,0.7131802131802131,0.03774950280862653,39,90
linear,7.0,0.55,7.429339477726574,1.943321760684794,0.35555555555555557,0.029397236789606575,0.7203277009728621,0.030283091575415897,32,90
linear,7.0,0.6,7.022564102564103,0.9912484905510444,0.2814814814814815,0.00641500299099582,0.7235897435897435,0.006217618283580576,25,90
linear,7.0,0.65,5.113997113997114,1.4366202702491664,0.24074074074074073,0.006415002990995835,0.7546897546897547,0.06573580363574665,22,90
linear,7.0,0.7,3.786492374727669,1.652898188724195,0.17407407407407408,0.03571722504071465,0.8208061002178649,0.09725082422870783,16,90
linear,8.0,0.45,9.59107419712071,0.9210349912212049,0.5259259259259259,0.04206598774666868,0.6433064388546117,0.04724344736036313,47,90
linear,8.0,0.5,7.7390860873113,0.8907908466480197,0.45925925925925926,0.03207501495497923,0.6874745002039983,0.04430664219524741,41,90
linear,8.0,0.55,7.115262515262515,1.5049552670692128,0.40370370370370373,0.025660011963983372,0.7260073260073261,0.029184738882112975,36,90
linear,8.0,0.6,6.495474137931034,0.630968933553775,0.337037037037037,0.01697250257391052,0.7369013409961686,0.02017339788945595,30,90
linear,8.0,0.65,4.984189723320158,1.3908789886072914,0.24814814814814815,0.006415002990995835,0.7621870882740449,0.06194110143829518,22,90
linear,8.0,0.7,4.016651104886399,1.3313678910636244,0.1814814814814815,0.023129622216290367,0.800964830376595,0.0702336435176356,16,90
linear,10.0,0.45,10.523741690408357,1.7949307712766556,0.5777777777777778,0.022222222222222202,0.6162488129154796,0.03793145673725724,52,90
linear,10.0,0.5,8.618364808400681,1.6039890039638371,0.5111111111111111,0.02939723678960655,0.6607496288965858,0.03635145845878326,46,90
linear,10.0,0.55,6.942489000628535,1.4973865288978894,0.4518518518518519,0.035717225040714666,0.6992806760248621,0.04992642614741545,41,90
linear,10.0,0.6,7.291634491634492,1.6595161128999092,0.38888888888888884,0.022222222222222227,0.7152685152685153,0.035162667881507376,35,90
